ws,wd,freq_val
0.0,260.0,1.2291052114060964e-05
0.0,265.0,3.2776138970829235e-05
0.0,270.0,2.0485086856768273e-05
0.0,280.0,2.8679121599475583e-05
0.0,285.0,2.0485086856768273e-05
0.0,290.0,2.4582104228121928e-05
0.0,295.0,1.6388069485414618e-05
0.0,300.0,2.8679121599475583e-05
0.0,305.0,2.0485086856768273e-05
0.0,315.0,2.0485086856768273e-05
0.0,320.0,1.2291052114060964e-05
0.0,325.0,8.194034742707309e-06
0.0,330.0,2.0485086856768273e-05
0.0,335.0,1.2291052114060964e-05
0.0,340.0,1.6388069485414618e-05
0.0,345.0,8.194034742707309e-06
0.0,350.0,8.194034742707309e-06
0.0,355.0,8.194034742707309e-06
0.1,0.0,1.2291052114060964e-05
0.1,5.0,2.0485086856768273e-05
0.1,10.0,1.2291052114060964e-05
0.1,15.000001,1.6388069485414618e-05
0.1,20.0,8.194034742707309e-06
0.1,25.0,1.6388069485414618e-05
0.1,30.000002,1.6388069485414618e-05
0.1,35.0,1.6388069485414618e-05
0.1,40.0,1.2291052114060964e-05
0.1,45.0,3.2776138970829235e-05
0.1,50.0,4.097017371353654e-06
0.1,55.0,2.0485086856768273e-05
0.1,60.000004,8.194034742707309e-06
0.1,65.0,1.2291052114060964e-05
0.1,70.0,2.0485086856768273e-05
0.1,75.0,3.2776138970829235e-05
0.1,80.0,2.4582104228121928e-05
0.1,85.0,1.2291052114060964e-05
0.1,90.0,2.4582104228121928e-05
0.1,95.0,8.194034742707309e-06
0.1,100.0,1.6388069485414618e-05
0.1,104.99999,2.0485086856768273e-05
0.1,110.0,2.8679121599475583e-05
0.1,115.0,1.6388069485414618e-05
0.1,120.00001,1.2291052114060964e-05
0.1,125.0,4.097017371353654e-06
0.1,130.0,1.2291052114060964e-05
0.1,135.0,1.2291052114060964e-05
0.1,140.0,2.8679121599475583e-05
0.1,145.0,2.4582104228121928e-05
0.1,150.0,1.2291052114060964e-05
0.1,155.0,8.194034742707309e-06
0.1,160.0,4.097017371353654e-06
0.1,165.0,2.0485086856768273e-05
0.1,170.0,4.097017371353654e-06
0.1,175.0,1.6388069485414618e-05
0.1,180.0,2.8679121599475583e-05
0.1,185.0,4.097017371353654e-06
0.1,195.0,8.194034742707309e-06
0.1,200.0,2.4582104228121928e-05
0.1,205.0,1.2291052114060964e-05
0.1,209.99998,8.194034742707309e-06
0.1,215.00002,8.194034742707309e-06
0.1,220.0,4.097017371353654e-06
0.1,225.0,1.2291052114060964e-05
0.1,230.0,8.194034742707309e-06
0.1,234.99998,2.0485086856768273e-05
0.1,240.00002,8.194034742707309e-06
0.1,245.0,4.097017371353654e-06
0.1,250.0,8.194034742707309e-06
0.1,255.0,4.097017371353654e-06
0.1,260.0,1.2291052114060964e-05
0.1,265.0,1.6388069485414618e-05
0.1,270.0,8.194034742707309e-06
0.1,275.0,8.194034742707309e-06
0.1,280.0,4.097017371353654e-06
0.1,285.0,4.097017371353654e-06
0.1,290.0,4.097017371353654e-06
0.1,295.0,8.194034742707309e-06
0.1,300.0,8.194034742707309e-06
0.1,305.0,4.097017371353654e-06
0.1,310.0,2.0485086856768273e-05
0.1,315.0,1.6388069485414618e-05
0.1,320.0,1.6388069485414618e-05
0.1,325.0,4.097017371353654e-06
0.1,330.0,1.2291052114060964e-05
0.1,335.0,2.0485086856768273e-05
0.1,340.0,8.194034742707309e-06
0.1,345.0,2.0485086856768273e-05
0.1,350.0,4.097017371353654e-06
0.1,355.0,8.194034742707309e-06
0.2,0.0,8.194034742707309e-06
0.2,5.0,1.2291052114060964e-05
0.2,10.0,1.2291052114060964e-05
0.2,15.000001,8.194034742707309e-06
0.2,20.0,1.2291052114060964e-05
0.2,25.0,4.097017371353654e-06
0.2,30.000002,8.194034742707309e-06
0.2,35.0,1.2291052114060964e-05
0.2,40.0,4.097017371353654e-06
0.2,45.0,1.6388069485414618e-05
0.2,50.0,8.194034742707309e-06
0.2,55.0,1.2291052114060964e-05
0.2,60.000004,1.2291052114060964e-05
0.2,65.0,1.2291052114060964e-05
0.2,70.0,1.2291052114060964e-05
0.2,75.0,1.6388069485414618e-05
0.2,80.0,1.2291052114060964e-05
0.2,85.0,1.6388069485414618e-05
0.2,90.0,1.6388069485414618e-05
0.2,95.0,8.194034742707309e-06
0.2,100.0,1.6388069485414618e-05
0.2,104.99999,1.2291052114060964e-05
0.2,110.0,1.2291052114060964e-05
0.2,115.0,2.0485086856768273e-05
0.2,120.00001,1.2291052114060964e-05
0.2,125.0,4.097017371353654e-06
0.2,130.0,2.0485086856768273e-05
0.2,135.0,1.2291052114060964e-05
0.2,140.0,8.194034742707309e-06
0.2,145.0,4.097017371353654e-06
0.2,150.0,8.194034742707309e-06
0.2,155.0,1.2291052114060964e-05
0.2,160.0,1.2291052114060964e-05
0.2,165.0,1.2291052114060964e-05
0.2,170.0,8.194034742707309e-06
